w2,0.88,-0.09,0.61,,,,,,,,,,,,,,,
m2,1.19,-1.16,1.0,,,,,,,,,,,,,,,
w1,1.13,-0.22,0.87,,,,1.59,-0.63,1.18,,,,,,,,,
u,2.13,-0.49,0.14,1.86,-0.58,0.18,2.07,-0.41,0.20,1.57,-0.16,0.5,,,,,,
U,2.01,-0.52,0.10,1.54,-0.16,0.30,1.88,-0.20,0.22,1.78,-0.26,0.19,1.65,-0.12,0.17,,,
B,1.43,-0.18,0.08,1.24,-0.14,0.19,1.40,-0.10,0.08,1.14,-0.16,0.24,1.28,-0.11,0.25,1.07,-0.26,0.27
g,1.20,-0.26,0.10,1.13,-0.17,0.12,1.10,-0.14,0.11,0.92,-0.24,0.08,0.97,-0.15,0.23,1.76,-0.33,0.12
V,0.87,-0.17,0.14,0.84,-0.08,0.10,0.88,-0.09,0.08,0.86,-0.1,0.15,0.92,-0.12,0.11,1.28,-0.54,0.52
r,0.60,-0.17,0.19,0.63,-0.09,0.16,0.69,-0.07,0.06,0.64,-0.17,0.14,0.66,-0.18,0.16,1.70,-0.15,0.14
R,0.64,-0.19,0.11,0.61,-0.08,0.13,0.64,-0.14,0.08,0.73,-0.16,0.1,0.73,-0.06,0.1,1.63,-1.08,0.18
i,0.36,-0.10,0.11,0.52,-0.11,0.14,0.49,-0.06,0.06,0.47,-0.11,0.16,0.65,-0.13,0.10,1.56,-0.11,0.19
I,0.43,-0.11,0.04,0.46,-0.05,0.15,0.53,-0.04,0.04,0.56,-0.14,0.06,0.57,-0.08,0.11,0.66,-0.33,0.99
J,0.10,-0.02,0.00,0.38,-0.06,0.06,0.38,-0.04,0.05,0.43,-0.12,0.14,0.41,-0.16,0.15,,,
H,-0.03,-0.02,0.05,0.30,-0.09,0.05,0.29,-0.02,0.02,0.38,-0.09,0.07,0.29,-0.10,0.29,,,
K,0.02,-0.02,0.12,0.39,-0.09,0.05,,,,0.55,-0.02,0.03,,,,,,
