,-10min,15,15max,-10max,-10,15min
B,-0.256911233068,-1.26961784065,-0.543406352401,2.02709583938,0.885092303157,-1.99582932889
H,0.154228374362,-0.271543860435,-0.0907755717635,0.44845469296,0.301341533661,-0.452312149107
I,0.0699163600802,-0.617263562977,-0.324341155589,0.837445877492,0.453681118786,-0.910185970366
J,0.11986047402,-0.371682047844,-0.203450780362,0.30712127313,0.213490873575,-0.539913315326
K,0.121554654092,-0.221133965999,-0.0308844484389,0.37545010075,0.248502377421,-0.411383483559
R,0.145184505731,-0.694641042501,-0.33500026539,1.03335737064,0.589270938188,-1.05428181961
U,-0.964053109288,-1.47888557613,-0.167350396514,2.53567652404,0.785811707377,-2.79042075574
V,-0.106992647052,-0.837900802493,-0.126031860709,1.53651548922,0.714761421084,-1.54976974428
g,-0.0201314897276,-0.761375436094,-0.246064597275,1.21316579869,0.596517154481,-1.27668627491
i,0.000281549058855,-0.518905973993,-0.19998294767,0.625726795755,0.313004172407,-0.837829000317
m2,-1.82445845008,-1.4720255211,-0.967687055469,1.26272155344,-0.280868448317,-1.97636398673
r,-0.074613686651,-0.552795406431,-0.214093904942,0.568982113153,0.247184213251,-0.89149690792
u,-0.0107419714332,-2.12064928561,-1.18953231722,1.98280540854,0.986031718552,-3.05176625401
w1,-1.3159620557,-1.30691139959,-1.04467282258,0.541154822335,-0.387403616682,-1.5691499766
w2,-1.68985244632,-1.36460579932,-0.989486575127,0.664518475533,-0.512666985393,-1.73972502351
